#{"t_start": 1781161091.3453863, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t,is_success
-100.0,100,1138.84127,0.0
-100.0,100,1143.238679,0.0
-89.0,100,1147.557925,0.0
-100.0,100,1151.888784,0.0
-100.0,100,1155.887136,0.0
-100.0,100,1160.303695,0.0
-100.0,100,1164.564123,0.0
-100.0,100,1168.906635,0.0
-100.0,100,1173.215747,0.0
-100.0,100,1177.616598,0.0
-100.0,100,1181.968263,0.0
-100.0,100,1186.397413,0.0
-100.0,100,1190.780959,0.0
-100.0,100,1195.103443,0.0
-100.0,100,1199.528025,0.0
-98.0,100,1203.860702,0.0
-100.0,100,1208.293407,0.0
-100.0,100,1212.713737,0.0
-100.0,100,1216.995351,0.0
-100.0,100,1221.37885,0.0
-100.0,100,1225.792691,0.0
-100.0,100,1230.124572,0.0
-100.0,100,1234.503455,0.0
-100.0,100,1238.775451,0.0
-100.0,100,1243.050595,0.0
-100.0,100,1247.463832,0.0
-100.0,100,1251.839802,0.0
-100.0,100,1256.214096,0.0
-100.0,100,1260.503048,0.0
-100.0,100,1264.895226,0.0
-100.0,100,1269.225863,0.0
-100.0,100,1273.499563,0.0
-100.0,100,1277.511533,0.0
-100.0,100,1281.735628,0.0
-100.0,100,1286.073784,0.0
-100.0,100,1290.49676,0.0
-100.0,100,1294.966948,0.0
-100.0,100,1299.263384,0.0
-100.0,100,1303.614012,0.0
-100.0,100,1307.975604,0.0
-100.0,100,1312.359963,0.0
-100.0,100,1314.185954,0.0
-100.0,100,1315.398875,0.0
-100.0,100,1319.622277,0.0
-100.0,100,1323.993638,0.0
-100.0,100,1328.37387,0.0
-93.0,100,1332.684993,0.0
-98.0,100,1337.129142,0.0
-100.0,100,1341.607816,0.0
-100.0,100,1345.972991,0.0
-100.0,100,1350.305148,0.0
-100.0,100,1354.681849,0.0
-100.0,100,1359.179548,0.0
-100.0,100,1363.461982,0.0
-100.0,100,1367.839019,0.0
-100.0,100,1372.145228,0.0
-98.0,100,1376.478017,0.0
-100.0,100,1380.796398,0.0
-99.0,100,1385.174214,0.0
-100.0,100,1389.456271,0.0
-100.0,100,1393.824018,0.0
-100.0,100,1398.190604,0.0
-100.0,100,1402.516021,0.0
-100.0,100,1406.231133,0.0
-100.0,100,1410.616434,0.0
-100.0,100,1414.988873,0.0
-100.0,100,1419.4676,0.0
-100.0,100,1423.829221,0.0
-100.0,100,1428.215395,0.0
-100.0,100,1432.594135,0.0
-100.0,100,1436.925169,0.0
-100.0,100,1441.250314,0.0
-100.0,100,1445.557517,0.0
-100.0,100,1450.003315,0.0
-100.0,100,1454.436292,0.0
-100.0,100,1458.721119,0.0
-87.0,100,1463.185712,0.0
-97.0,100,1467.613663,0.0
-100.0,100,1471.976589,0.0
-100.0,100,1476.343013,0.0
-100.0,100,1480.720082,0.0
-100.0,100,1485.004134,0.0
-100.0,100,1489.437993,0.0
-100.0,100,1493.862904,0.0
-100.0,100,1498.230628,0.0
-100.0,100,1502.620278,0.0
-100.0,100,1506.940885,0.0
-100.0,100,1511.313799,0.0
-100.0,100,1515.677467,0.0
-100.0,100,1519.986006,0.0
-100.0,100,1524.371655,0.0
-100.0,100,1528.744659,0.0
-45.0,100,1532.573612,1.0
-100.0,100,1536.965065,0.0
-100.0,100,1541.242574,0.0
-100.0,100,1545.62282,0.0
-100.0,100,1549.85751,0.0
-100.0,100,1554.280731,0.0
-100.0,100,1558.599334,0.0
-100.0,100,1562.929023,0.0
-100.0,100,1567.342633,0.0
-100.0,100,1571.665447,0.0
-100.0,100,1575.913689,0.0
-100.0,100,1580.282889,0.0
-100.0,100,1584.663846,0.0
-100.0,100,1589.102907,0.0
-100.0,100,1593.497099,0.0
-100.0,100,1597.93606,0.0
-100.0,100,1602.278893,0.0
-100.0,100,1606.729696,0.0
-100.0,100,1611.056779,0.0
-100.0,100,1615.432402,0.0
-100.0,100,1619.803012,0.0
-100.0,100,1624.224799,0.0
-100.0,100,1628.508127,0.0
-100.0,100,1632.936426,0.0
-100.0,100,1637.31973,0.0
-100.0,100,1641.653004,0.0
-100.0,100,1645.994016,0.0
-100.0,100,1650.323359,0.0
-100.0,100,1654.638866,0.0
-100.0,100,1658.528054,0.0
-100.0,100,1662.9257,0.0
-100.0,100,1667.25595,0.0
-100.0,100,1671.789636,0.0
-100.0,100,1676.2408,0.0
-100.0,100,1680.626401,0.0
-100.0,100,1685.008771,0.0
-100.0,100,1689.346574,0.0
-100.0,100,1693.735479,0.0
-100.0,100,1698.155346,0.0
-100.0,100,1702.578625,0.0
-100.0,100,1707.020603,0.0
-100.0,100,1711.404123,0.0
