#{"t_start": 1781144250.7573416, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t,is_success
-100.0,100,236.003117,0.0
-100.0,100,236.645488,0.0
-100.0,100,237.31477,0.0
-100.0,100,237.961503,0.0
-100.0,100,238.702048,0.0
-100.0,100,239.442533,0.0
-100.0,100,240.098743,0.0
-100.0,100,240.729451,0.0
-100.0,100,241.37852,0.0
-100.0,100,242.005812,0.0
-100.0,100,244.084121,0.0
-100.0,100,244.738027,0.0
-100.0,100,245.400273,0.0
-98.0,100,246.037397,0.0
-100.0,100,246.687319,0.0
-100.0,100,247.349114,0.0
-100.0,100,248.00509,0.0
-57.0,100,248.666367,0.0
-100.0,100,249.302344,0.0
-100.0,100,249.961112,0.0
-100.0,100,250.605139,0.0
-100.0,100,251.232157,0.0
-100.0,100,251.873725,0.0
-100.0,100,252.603758,0.0
-100.0,100,253.271218,0.0
-100.0,100,253.937538,0.0
-100.0,100,254.590503,0.0
-53.0,100,255.262855,0.0
-100.0,100,255.920261,0.0
-85.0,100,256.620705,0.0
-100.0,100,257.307298,0.0
-100.0,100,257.947558,0.0
-100.0,100,258.614085,0.0
-100.0,100,259.26589,0.0
-100.0,100,259.913296,0.0
-100.0,100,260.550658,0.0
-100.0,100,261.228281,0.0
-100.0,100,261.827827,0.0
-100.0,100,262.476208,0.0
-100.0,100,263.121309,0.0
-100.0,100,263.804226,0.0
-100.0,100,264.487796,0.0
-100.0,100,265.175408,0.0
-100.0,100,265.872076,0.0
-100.0,100,266.501052,0.0
-100.0,100,267.13688,0.0
-100.0,100,267.769355,0.0
-100.0,100,268.418929,0.0
-100.0,100,269.071063,0.0
-100.0,100,269.722725,0.0
-100.0,100,270.349033,0.0
-32.0,100,271.010842,1.0
-100.0,100,271.663899,0.0
-100.0,100,272.286459,0.0
-100.0,100,272.930161,0.0
-100.0,100,273.580836,0.0
-100.0,100,274.192848,0.0
-100.0,100,274.875167,0.0
-100.0,100,275.578595,0.0
-100.0,100,276.274564,0.0
-100.0,100,277.051574,0.0
-100.0,100,277.714353,0.0
-100.0,100,278.344495,0.0
-100.0,100,278.994674,0.0
-100.0,100,279.655399,0.0
-100.0,100,280.300954,0.0
-100.0,100,280.922492,0.0
-100.0,100,281.546528,0.0
-100.0,100,282.176103,0.0
-100.0,100,282.79784,0.0
-100.0,100,283.429533,0.0
-100.0,100,284.117998,0.0
-100.0,100,284.764387,0.0
-100.0,100,285.421052,0.0
-100.0,100,286.084095,0.0
-100.0,100,286.737555,0.0
-100.0,100,287.385668,0.0
-100.0,100,287.997636,0.0
-100.0,100,288.652708,0.0
-100.0,100,289.312869,0.0
-100.0,100,289.964247,0.0
-100.0,100,290.620514,0.0
-100.0,100,291.259982,0.0
-100.0,100,291.921864,0.0
-100.0,100,292.602648,0.0
-100.0,100,293.235939,0.0
-100.0,100,293.885403,0.0
-100.0,100,294.516635,0.0
-100.0,100,295.14625,0.0
-100.0,100,295.782211,0.0
-100.0,100,296.42712,0.0
-100.0,100,297.123896,0.0
-100.0,100,297.862292,0.0
-100.0,100,298.522523,0.0
-100.0,100,299.141715,0.0
-100.0,100,299.791541,0.0
-100.0,100,300.43259,0.0
-100.0,100,301.104297,0.0
-100.0,100,301.733082,0.0
-100.0,100,302.36792,0.0
-100.0,100,303.017818,0.0
-100.0,100,303.725579,0.0
-100.0,100,304.398108,0.0
-41.0,100,305.064446,1.0
-100.0,100,305.668806,0.0
-100.0,100,306.302284,0.0
-100.0,100,306.928637,0.0
-100.0,100,307.528739,0.0
-100.0,100,308.113313,0.0
-100.0,100,308.732869,0.0
-100.0,100,310.726304,0.0
-100.0,100,311.332146,0.0
-100.0,100,311.940484,0.0
-93.0,100,312.575987,0.0
-100.0,100,313.222016,0.0
-100.0,100,313.84188,0.0
-100.0,100,314.472007,0.0
-100.0,100,315.156951,0.0
-100.0,100,315.88012,0.0
-100.0,100,316.552512,0.0
-100.0,100,317.1891,0.0
-100.0,100,317.825977,0.0
-100.0,100,318.479053,0.0
-100.0,100,319.133091,0.0
-100.0,100,319.795106,0.0
-100.0,100,320.537124,0.0
-100.0,100,321.234701,0.0
-100.0,100,321.888323,0.0
-100.0,100,322.524895,0.0
-100.0,100,323.176585,0.0
-100.0,100,323.835611,0.0
-100.0,100,324.498159,0.0
-100.0,100,325.146917,0.0
-100.0,100,325.801822,0.0
-100.0,100,326.43531,0.0
-100.0,100,327.103565,0.0
-100.0,100,327.722705,0.0
-100.0,100,328.363885,0.0
-100.0,100,329.005355,0.0
-100.0,100,329.62747,0.0
-100.0,100,330.280906,0.0
-100.0,100,330.931262,0.0
-100.0,100,331.582027,0.0
-100.0,100,332.238294,0.0
-100.0,100,332.869372,0.0
-100.0,100,333.531568,0.0
-100.0,100,334.165842,0.0
-100.0,100,334.817095,0.0
-100.0,100,335.453993,0.0
-100.0,100,336.085919,0.0
-100.0,100,336.711453,0.0
-100.0,100,337.35807,0.0
-37.0,100,337.990432,0.0
-100.0,100,338.61639,0.0
-100.0,100,339.264705,0.0
-100.0,100,339.922591,0.0
-100.0,100,340.58297,0.0
-100.0,100,341.28299,0.0
-100.0,100,341.961627,0.0
-100.0,100,342.610074,0.0
-100.0,100,343.256922,0.0
-100.0,100,343.897511,0.0
-100.0,100,344.542725,0.0
-100.0,100,345.19571,0.0
-100.0,100,345.930764,0.0
-100.0,100,346.56935,0.0
-100.0,100,347.221169,0.0
-100.0,100,347.864443,0.0
-100.0,100,348.516028,0.0
-100.0,100,349.164821,0.0
-100.0,100,349.801596,0.0
-100.0,100,350.437843,0.0
-38.0,100,351.087299,1.0
-100.0,100,351.742009,0.0
-100.0,100,352.513353,0.0
-100.0,100,353.194768,0.0
-100.0,100,353.846256,0.0
-100.0,100,354.485512,0.0
-100.0,100,355.147151,0.0
-100.0,100,355.782157,0.0
-24.0,100,356.424245,1.0
-100.0,100,357.071142,0.0
-100.0,100,357.716649,0.0
-100.0,100,358.473899,0.0
-100.0,100,359.116138,0.0
-100.0,100,359.756059,0.0
-100.0,100,360.408447,0.0
-100.0,100,361.05281,0.0
-100.0,100,361.686249,0.0
-100.0,100,362.351691,0.0
-100.0,100,363.000428,0.0
-100.0,100,363.643846,0.0
-100.0,100,364.307963,0.0
-100.0,100,364.940823,0.0
-100.0,100,365.574885,0.0
-100.0,100,366.218712,0.0
-100.0,100,366.868196,0.0
-42.0,100,367.502193,0.0
-100.0,100,368.14717,0.0
-95.0,100,368.796306,0.0
-98.0,100,369.439015,0.0
-100.0,100,370.085764,0.0
-100.0,100,370.740096,0.0
-100.0,100,371.392463,0.0
-100.0,100,372.024714,0.0
-100.0,100,372.664742,0.0
-100.0,100,373.314248,0.0
-100.0,100,373.965485,0.0
-100.0,100,374.617479,0.0
-100.0,100,375.263418,0.0
-85.0,100,377.338673,0.0
-100.0,100,378.000767,0.0
-100.0,100,378.649467,0.0
-100.0,100,379.369035,0.0
-100.0,100,380.087034,0.0
-100.0,100,380.740577,0.0
-100.0,100,381.380833,0.0
-100.0,100,382.03235,0.0
-100.0,100,382.691472,0.0
-100.0,100,383.328687,0.0
-100.0,100,383.986711,0.0
-100.0,100,384.616745,0.0
-100.0,100,385.34031,0.0
-100.0,100,385.979546,0.0
-100.0,100,386.625862,0.0
-100.0,100,387.270636,0.0
-13.0,100,387.898319,1.0
-100.0,100,388.527285,0.0
-100.0,100,389.163148,0.0
-100.0,100,389.809479,0.0
-100.0,100,390.461441,0.0
-100.0,100,391.076596,0.0
-100.0,100,391.72145,0.0
-100.0,100,392.352689,0.0
-50.0,100,393.002481,0.0
-100.0,100,393.652369,0.0
-100.0,100,394.305401,0.0
-100.0,100,394.955789,0.0
-100.0,100,395.608565,0.0
-100.0,100,396.243366,0.0
-100.0,100,396.896212,0.0
-100.0,100,397.540994,0.0
-100.0,100,398.192403,0.0
-100.0,100,398.82569,0.0
-100.0,100,399.458973,0.0
-8.0,100,400.120019,0.0
-100.0,100,400.774815,0.0
-100.0,100,401.423759,0.0
-100.0,100,402.065938,0.0
-100.0,100,402.716944,0.0
-71.0,100,403.369686,0.0
-100.0,100,404.010477,0.0
-100.0,100,404.663485,0.0
-100.0,100,405.308318,0.0
-100.0,100,405.950329,0.0
-100.0,100,406.595169,0.0
-100.0,100,407.242399,0.0
-100.0,100,407.937996,0.0
-100.0,100,408.654109,0.0
-100.0,100,409.328431,0.0
-100.0,100,409.982222,0.0
-100.0,100,410.630464,0.0
-100.0,100,411.267292,0.0
-98.0,100,411.915704,1.0
-75.0,100,412.588196,1.0
-100.0,100,413.245776,0.0
-100.0,100,413.909608,0.0
-100.0,100,414.581386,0.0
-27.0,100,415.243138,1.0
-100.0,100,415.872246,0.0
-100.0,100,416.520117,0.0
-100.0,100,417.173565,0.0
-42.0,100,417.837412,1.0
-100.0,100,418.462918,0.0
-100.0,100,419.097907,0.0
-100.0,100,419.735731,0.0
-100.0,100,420.370577,0.0
-98.0,100,421.03323,0.0
-100.0,100,421.6849,0.0
-100.0,100,422.336034,0.0
-100.0,100,422.990517,0.0
-100.0,100,423.650535,0.0
-100.0,100,424.301929,0.0
-100.0,100,424.964855,0.0
-92.0,100,425.590463,0.0
-100.0,100,426.246453,0.0
-100.0,100,426.899126,0.0
-100.0,100,427.548448,0.0
-100.0,100,428.198279,0.0
-100.0,100,428.851658,0.0
-100.0,100,429.489976,0.0
-100.0,100,430.156313,0.0
-100.0,100,430.804905,0.0
-100.0,100,431.454432,0.0
-100.0,100,432.105107,0.0
-88.0,100,432.774368,0.0
-100.0,100,433.453668,0.0
-100.0,100,434.111652,0.0
-100.0,100,434.766683,0.0
-100.0,100,435.404096,0.0
-100.0,100,436.04657,0.0
-100.0,100,436.671578,0.0
-100.0,100,437.335135,0.0
-100.0,100,437.993104,0.0
-100.0,100,438.632039,0.0
-100.0,100,439.272058,0.0
-100.0,100,439.884803,0.0
-6.0,100,440.542669,1.0
-100.0,100,441.205791,0.0
-100.0,100,441.857887,0.0
-15.0,100,443.866388,1.0
-100.0,100,444.506606,0.0
-100.0,100,445.162248,0.0
-100.0,100,445.81071,0.0
-100.0,100,446.486394,0.0
-100.0,100,447.141093,0.0
-100.0,100,447.757835,0.0
-100.0,100,448.4034,0.0
-100.0,100,449.060209,0.0
-100.0,100,449.698086,0.0
-100.0,100,450.348906,0.0
-100.0,100,450.997598,0.0
-100.0,100,451.656946,0.0
-100.0,100,452.295885,0.0
-100.0,100,452.944798,0.0
-26.0,100,453.617862,1.0
-100.0,100,454.247937,0.0
-100.0,100,454.889991,0.0
-100.0,100,455.543973,0.0
-100.0,100,456.218064,0.0
-100.0,100,456.90642,0.0
-100.0,100,457.566764,0.0
-22.0,100,458.246887,1.0
-100.0,100,458.904128,0.0
-100.0,100,459.548809,0.0
-100.0,100,460.205573,0.0
-100.0,100,460.858048,0.0
-100.0,100,461.53601,0.0
-100.0,100,462.201628,0.0
-95.0,100,462.865304,0.0
-18.0,100,463.498394,0.0
-100.0,100,464.113675,0.0
-100.0,100,464.765858,0.0
-100.0,100,465.418515,0.0
-100.0,100,466.073387,0.0
-100.0,100,466.711998,0.0
-100.0,100,467.362703,0.0
-100.0,100,468.020324,0.0
-83.0,100,468.673019,1.0
-100.0,100,469.31939,0.0
-100.0,100,469.966376,0.0
-100.0,100,470.638661,0.0
-100.0,100,471.325686,0.0
-100.0,100,471.99859,0.0
-46.0,100,472.649081,0.0
-100.0,100,473.293284,0.0
-16.0,100,473.973572,1.0
-100.0,100,474.63778,0.0
-100.0,100,475.282122,0.0
-100.0,100,475.921809,0.0
-100.0,100,476.564579,0.0
-100.0,100,477.216197,0.0
-100.0,100,477.847901,0.0
-100.0,100,478.505274,0.0
-100.0,100,479.141794,0.0
-100.0,100,479.781789,0.0
-100.0,100,480.404792,0.0
-100.0,100,481.042842,0.0
-100.0,100,481.694592,0.0
-100.0,100,482.336399,0.0
-83.0,100,482.978435,1.0
-100.0,100,483.643567,0.0
-100.0,100,484.286834,0.0
-100.0,100,484.914592,0.0
-100.0,100,485.558702,0.0
-4.0,100,486.207944,0.0
-100.0,100,486.868192,0.0
-100.0,100,487.521338,0.0
-100.0,100,488.192256,0.0
-100.0,100,488.837371,0.0
-100.0,100,489.491371,0.0
-94.0,100,490.136972,0.0
-47.0,100,490.788432,1.0
-100.0,100,491.403302,0.0
-97.0,100,492.057307,0.0
-100.0,100,492.68734,0.0
-100.0,100,493.354531,0.0
-100.0,100,494.01026,0.0
-10.0,100,494.685817,1.0
-100.0,100,495.293107,0.0
-100.0,100,495.948568,0.0
-11.0,100,496.594633,1.0
-100.0,100,497.24694,0.0
-100.0,100,497.907811,0.0
-100.0,100,498.542312,0.0
-100.0,100,499.200097,0.0
-100.0,100,499.836312,0.0
-100.0,100,500.497029,0.0
-100.0,100,501.125017,0.0
-100.0,100,501.761637,0.0
-100.0,100,502.420053,0.0
-85.0,100,503.081775,0.0
-98.0,100,503.740052,0.0
-100.0,100,504.406437,0.0
-2.0,100,505.063884,1.0
-100.0,100,505.746887,0.0
-100.0,100,506.402755,0.0
-100.0,100,507.070907,0.0
-100.0,100,507.730156,0.0
-100.0,100,508.41442,0.0
-100.0,100,510.397673,0.0
-100.0,100,511.020253,0.0
-47.0,100,511.671494,1.0
-100.0,100,512.315619,0.0
-100.0,100,512.966645,0.0
-100.0,100,513.633647,0.0
-100.0,100,514.285098,0.0
-100.0,100,514.947494,0.0
-7.0,100,515.605013,1.0
-100.0,100,516.260274,0.0
-100.0,100,516.912587,0.0
-100.0,100,517.559481,0.0
-100.0,100,518.184846,0.0
-100.0,100,518.814948,0.0
-100.0,100,519.466684,0.0
-100.0,100,520.110381,0.0
-100.0,100,520.74959,0.0
-77.0,100,521.356462,1.0
-100.0,100,522.005646,0.0
-100.0,100,522.658132,0.0
-100.0,100,523.311421,0.0
-100.0,100,523.949882,0.0
-100.0,100,524.596262,0.0
-100.0,100,525.252191,0.0
-100.0,100,525.902293,0.0
-99.0,100,526.543046,0.0
-81.0,100,527.204445,0.0
-100.0,100,527.857165,0.0
-100.0,100,528.528055,0.0
-100.0,100,529.206558,0.0
-100.0,100,529.872233,0.0
-100.0,100,530.531168,0.0
-100.0,100,531.19738,0.0
-100.0,100,531.86239,0.0
-100.0,100,532.496809,0.0
-100.0,100,533.135948,0.0
-100.0,100,533.765128,0.0
-100.0,100,534.404721,0.0
-100.0,100,535.059741,0.0
-100.0,100,535.713133,0.0
-95.0,100,536.355896,0.0
-99.0,100,537.023904,0.0
-100.0,100,537.693899,0.0
-100.0,100,538.348745,0.0
-100.0,100,538.999233,0.0
-100.0,100,539.639976,0.0
-100.0,100,540.259816,0.0
-100.0,100,540.893393,0.0
-37.0,100,541.548857,1.0
-100.0,100,542.195555,0.0
-100.0,100,542.854746,0.0
-100.0,100,543.508037,0.0
-100.0,100,544.165811,0.0
-100.0,100,544.816153,0.0
-100.0,100,545.455889,0.0
-100.0,100,546.108328,0.0
-100.0,100,546.761213,0.0
-100.0,100,547.39676,0.0
-100.0,100,548.049256,0.0
-100.0,100,548.705359,0.0
-19.0,100,549.376311,1.0
-100.0,100,550.006092,0.0
-100.0,100,550.658143,0.0
-100.0,100,551.319003,0.0
-100.0,100,551.974379,0.0
